film_id,title,replacement_cost,rent_time
891,Timberland Sky,13.99,164 days 387:39:00
489,Juggler Hardly,14.99,157 days 331:22:00
979,Witches Panic,10.99,153 days 343:05:00
341,Frost Head,13.99,151 days 268:55:00
893,Titans Jerk,11.99,143 days 318:58:00
220,Deer Virginian,13.99,139 days 324:12:00
970,Westward Seabiscuit,11.99,138 days 295:21:00
174,Confidential Interview,13.99,137 days 281:31:00
702,Pulp Beverly,12.99,135 days 306:39:00
127,Cat Coneheads,14.99,135 days 289:24:00
873,Sweethearts Suspects,13.99,134 days 313:17:00
295,Expendable Stallion,14.99,128 days 389:09:00
307,Fellowship Autumn,9.99,132 days 279:06:00
572,Metropolis Coma,9.99,124 days 372:50:00
271,Easy Gladiator,12.99,127 days 270:57:00
835,Spy Mile,13.99,123 days 357:02:00
273,Effect Gladiator,14.99,122 days 370:47:00
172,Coneheads Smoochy,12.99,125 days 296:43:00
159,Closer Bang,12.99,125 days 279:56:00
890,Tights Dawn,14.99,124 days 301:47:00
545,Madness Attacks,14.99,123 days 306:29:00
875,Talented Homicide,9.99,119 days 401:39:00
86,Boogie Amelie,11.99,119 days 337:29:00
242,Doom Dancing,13.99,122 days 246:43:00
863,Sun Confessions,9.99,119 days 304:52:00
181,Contact Anonymous,10.99,118 days 313:31:00
767,Scalawag Duck,13.99,115 days 365:29:00
870,Swarm Gold,12.99,113 days 382:49:00
51,Balloon Homeward,10.99,115 days 330:05:00
941,Videotape Arsenic,10.99,112 days 377:54:00
154,Clash Freddy,12.99,113 days 317:15:00
443,Hurricane Affair,11.99,114 days 287:53:00
966,Wedding Apollo,14.99,110 days 334:38:00
953,Wait Cider,9.99,111 days 286:54:00
468,Invasion Cyclone,12.99,108 days 350:40:00
486,Jet Neighbors,14.99,113 days 198:10:00
476,Jason Trap,9.99,107 days 340:28:00
608,Murder Antitrust,11.99,108 days 307:13:00
263,Durham Panky,14.99,110 days 257:49:00
786,Shepherd Midsummer,14.99,107 days 319:15:00
880,Telemark Heartbreakers,9.99,106 days 315:52:00
162,Clueless Bucket,13.99,109 days 232:25:00
938,Velvet Terminator,14.99,109 days 220:58:00
356,Giant Troopers,10.99,104 days 340:08:00
911,Trip Newton,14.99,100 days 414:35:00
167,Coma Head,10.99,109 days 176:29:00
99,Bringing Hysterical,14.99,105 days 260:35:00
78,Blackout Private,12.99,104 days 254:00:00
383,Groove Fiction,13.99,103 days 266:40:00
646,Outbreak Divine,12.99,103 days 259:04:00
804,Sleeping Suspects,13.99,102 days 258:05:00
267,Eagles Panky,14.99,104 days 201:55:00
313,Fidelity Devil,11.99,104 days 193:27:00
500,Kiss Glory,11.99,98 days 324:40:00
971,Whale Bikini,11.99,102 days 226:21:00
914,Trouble Date,13.99,99 days 293:46:00
976,Wind Phantom,12.99,100 days 263:07:00
841,Star Operation,9.99,104 days 164:45:00
995,Yentl Idaho,11.99,99 days 271:32:00
551,Maiden Home,9.99,101 days 209:01:00
122,Carrie Bunch,11.99,96 days 326:11:00
580,Mine Titans,12.99,103 days 154:12:00
311,Fiction Christmas,14.99,99 days 243:50:00
846,Sting Personal,9.99,102 days 168:51:00
915,Truman Crazy,9.99,94 days 344:56:00
856,Streetcar Intentions,11.99,96 days 296:28:00
437,House Dynamite,13.99,99 days 219:11:00
15,Alien Center,10.99,97 days 238:17:00
445,Hyde Doctor,11.99,93 days 331:25:00
45,Attraction Newton,14.99,95 days 264:29:00
845,Stepmom Dream,9.99,95 days 259:23:00
484,Jerk Paycheck,13.99,94 days 247:15:00
212,Darn Forrester,14.99,95 days 222:11:00
39,Armageddon Lost,10.99,96 days 184:26:00
275,Egypt Tenenbaums,11.99,97 days 149:50:00
116,Candidate Perdition,10.99,96 days 167:35:00
467,Intrigue Worst,10.99,91 days 265:38:00
416,Highball Potter,10.99,92 days 220:19:00
614,Name Detective,11.99,92 days 198:48:00
734,Road Roxanne,12.99,89 days 266:30:00
150,Cider Desire,9.99,92 days 191:51:00
776,Secret Groundhog,11.99,89 days 261:36:00
602,Mourning Purple,14.99,90 days 234:00:00
631,Novocaine Flight,11.99,92 days 176:43:00
777,Secretary Rouge,10.99,90 days 193:40:00
451,Igby Maker,12.99,89 days 199:45:00
235,Divide Monster,13.99,87 days 246:16:00
649,Oz Liaisons,14.99,85 days 287:52:00
324,Flintstones Happiness,11.99,88 days 195:03:00
524,Lion Uncut,13.99,88 days 195:01:00
755,Sabrina Midnight,11.99,84 days 289:06:00
90,Boulevard Mob,11.99,88 days 192:42:00
501,Kissing Dolls,9.99,84 days 286:56:00
861,Suit Walls,12.99,86 days 226:51:00
657,Paradise Sabrina,12.99,85 days 246:21:00
436,Hours Rage,14.99,87 days 184:11:00
629,Notorious Reunion,9.99,88 days 159:20:00
298,Eyes Driving,13.99,84 days 254:19:00
131,Center Dinosaur,12.99,87 days 177:43:00
805,Sleepless Monsoon,12.99,84 days 231:12:00
727,Resurrection Silverado,12.99,84 days 226:22:00
23,Anaconda Confessions,9.99,85 days 200:24:00
72,Bill Others,12.99,81 days 280:45:00
314,Fight Jawbreaker,13.99,82 days 238:19:00
17,Alone Trip,14.99,80 days 277:34:00
22,Amistad Midsummer,10.99,84 days 180:37:00
623,Newton Labyrinth,9.99,82 days 217:59:00
348,Gandhi Kwai,9.99,82 days 210:06:00
183,Conversation Downhill,14.99,82 days 203:26:00
626,Noon Papi,12.99,80 days 233:59:00
363,Go Purple,12.99,80 days 228:29:00
664,Patriot Roman,12.99,79 days 246:21:00
908,Trap Guys,11.99,79 days 231:37:00
544,Madison Trap,11.99,83 days 133:40:00
141,Chicago North,11.99,80 days 200:16:00
496,Kick Savannah,10.99,78 days 248:00:00
479,Jedi Beneath,12.99,78 days 236:57:00
993,Wrong Behavior,10.99,77 days 249:58:00
946,Virtual Spoilers,14.99,81 days 147:55:00
688,Polish Brooklyn,12.99,79 days 192:27:00
409,Heartbreakers Bright,9.99,76 days 253:46:00
42,Artist Coldblooded,10.99,78 days 200:47:00
